Source Location (kilometers) : (0, 0, 3).
Receiver Location (kilometers) : (223.336, 4.1487, 0).
theta = 9.95436, phi = 89.9995,  c0(zground) = 0.33676 km/s
# x [km]	y [km]	z [km]	Geo. Atten. [dB]	Atmo. Atten. [dB]	Travel Time [s]	  rho  	   c [km/s]  	   u [km/s]  	   v [km/s]  	   w [km/s]  	Slowness_x [s/km]	Slowness_y [s/km]	Slowness_z [s/km]	Jacobian [km^2/rad^2]
166.152	2.99841	23.1468	-73.8421	-0.027678	541.344	5.65791e-05	0.291937	0.00671175	-0.00157304	0	2.83107	0.0175172	-1.87107	-8118.95
167.204	2.99699	22.4711	-73.3837	-0.0277094	545.545	6.30584e-05	0.291365	0.00739951	-0.00213331	0	2.83108	0.0176466	-1.8709	-8094.5
168.257	2.9932	21.7983	-72.9126	-0.0277397	549.743	7.02789e-05	0.290913	0.00845485	-0.00270231	0	2.83109	0.0178083	-1.86172	-8032.37
169.314	2.98728	21.1312	-72.4263	-0.0277684	553.932	7.83864e-05	0.290554	0.0098365	-0.00317162	0	2.8311	0.0180003	-1.84462	-7936.42
170.376	2.97988	20.472	-71.9292	-0.0277956	558.107	8.75003e-05	0.290214	0.0114736	-0.0034539	0	2.83111	0.0182119	-1.82233	-7816.81
171.444	2.97189	19.8224	-71.4258	-0.0278211	562.266	9.75964e-05	0.289948	0.01326	-0.00351634	0	2.83112	0.0184561	-1.79535	-7676.8
172.519	2.96424	19.1839	-70.9229	-0.0278448	566.405	0.000108499	0.289842	0.0151068	-0.00337446	0	2.83114	0.0187465	-1.76332	-7516.51
173.601	2.95773	18.5576	-70.4301	-0.0278671	570.522	0.000119951	0.289913	0.0169235	-0.00305957	0	2.83117	0.0191034	-1.72742	-7341.1
174.69	2.95311	17.9441	-69.9513	-0.0278881	574.616	0.000131874	0.290137	0.0185542	-0.00255716	0	2.83121	0.0195291	-1.69106	-7164.21
175.786	2.95126	17.3428	-69.482	-0.027908	578.687	0.000144342	0.290565	0.0198532	-0.00179622	0	2.83125	0.0199913	-1.656	-6994.39
176.887	2.95346	16.7521	-69.0215	-0.0279269	582.738	0.000157632	0.29112	0.0207046	-0.000654089	0	2.83129	0.0204256	-1.62643	-6847.99
